1,Lindsay,Thompson,Lindsay,Lindsay@gmail.com,pass,,Lake Merritt
2,Kathy,Shipley,Kathy,kathy@yahoo.com,pass,,Temescal
3,Brighid,Sarris,Brighid,brighid@gmail.com,pass,,Rockridge
4,Kari,McKibben,Kari,kari@yahoo.com,pass,,Uptown
5,Alex,Jones,Alex,alex@hotmail.com,pass,,Piedmont
6,Rujuta,Madan,Rujuta,rujuta@gmail.com,pass,,Lake Merritt
7,Bob,Conklin,Bob,bob@hotmail.com,pass,,Lake Merritt
8,John,Cameron,John,john@hotmail.com,pass,,Temescal
9,Helen,Hemminger,Helen,helen@gmail.com,pass,,Rockridge
10,Stacy,Taylor,Stacy,stacy@gmail.com,pass,,Uptown
11,Karla,Knight,Karla,karla@gmail.com,pass,,Piedmont
12,Anne,Smith,Anne,anne@yahoo.com,pass,,Lake Merritt
13,Ginger,Eller,Ginger,ginger@yahoo.com,pass,,Lake Merritt
14,Jason,Tate,Jason,jason@hotmail.com,pass,,Temescal
15,Amy,Mann,Amy,amy@yahoo.com,pass,,Rockridge
16,Amy,Navarro,Amy,amyn@gmail.com,pass,,Uptown
17,Jordan,Fong,Jordan,jordan@gmail.com,pass,,Piedmont
18,Jackie,Yeransian,Jackie,jackie@gmail.com,pass,,Lake Merritt
